STT,Dữ Liệu ,Câu Hỏi,Câu Trả Lời,Nguồn( Nếu Có),Thông Tin Thêm,Đánh giá,Minh chứng,Context
1,1.0,Cổng thông tin Học viện Công nghệ Bưu chính Viễn thông - PTIT là gì?,Cổng thông tin Học viện Công nghệ Bưu chính Viễn thông - PTIT là: https://ptit.edu.vn/,,,,,"#Question : ```Cổng thông tin Học viện Công nghệ Bưu chính Viễn thông - PTIT là gì?```
#Answer : ```Cổng thông tin Học viện Công nghệ Bưu chính Viễn thông - PTIT là: https://ptit.edu.vn/```"
2,2.0,Link phòng giáo vụ của Học viện Công nghệ Bưu chính Viễn thông - PTIT  là gì?,Link phòng giáo vụ của Học viện Công nghệ Bưu chính Viễn thông - PTIT là: https://giaovu.ptit.edu.vn/,,,,,"#Question : ```Link phòng giáo vụ của Học viện Công nghệ Bưu chính Viễn thông - PTIT  là gì?```
#Answer : ```Link phòng giáo vụ của Học viện Công nghệ Bưu chính Viễn thông - PTIT là: https://giaovu.ptit.edu.vn/```"
3,3.0,Facebook của Học viện Công nghệ Bưu chính Viễn thông - PTIT  là gì?,Học viện Công nghệ Bưu chính Viễn thông - PTIT  (https://www.facebook.com/HocvienPTIT),,,,,"#Question : ```Facebook của Học viện Công nghệ Bưu chính Viễn thông - PTIT  là gì?```
#Answer : ```Học viện Công nghệ Bưu chính Viễn thông - PTIT  (https://www.facebook.com/HocvienPTIT)```"
4,4.0,Trang quản lý đào tạo của Học viện Công nghệ Bưu chính Viễn thông - PTIT  là gì?,Trang quản lý đào tạo của Học viện Công nghệ Bưu chính Viễn thông - PTIT là https://qldt.ptit.edu.vn,,,,,"#Question : ```Trang quản lý đào tạo của Học viện Công nghệ Bưu chính Viễn thông - PTIT  là gì?```
#Answer : ```Trang quản lý đào tạo của Học viện Công nghệ Bưu chính Viễn thông - PTIT là https://qldt.ptit.edu.vn```"
5,5.0,Web slink Học viện Công nghệ Bưu chính Viễn thông - PTIT  là gì?,Web slink Học viện Công nghệ Bưu chính Viễn thông - PTIT là: https://slink.ptit.edu.vn/,,,,,"#Question : ```Web slink Học viện Công nghệ Bưu chính Viễn thông - PTIT  là gì?```
#Answer : ```Web slink Học viện Công nghệ Bưu chính Viễn thông - PTIT là: https://slink.ptit.edu.vn/```"
6,6.0,Trụ sở chính của Học viện Công nghệ Bưu chính Viễn thông - PTIT  nằm ở đâu?,"Trụ sở chính của Học viện Công nghệ Bưu chính Viễn thông đặt tại:
122, Hoàng Quốc Việt, Cầu Giấy, Hà Nội
Điện thoại: 024.37562186
Fax: 024.37562036
Website: www.ptit.edu.vn
Email: vanphonghv@ptit.edu.vn",,ưw,5.0,,"#Question : ```Trụ sở chính của Học viện Công nghệ Bưu chính Viễn thông - PTIT  nằm ở đâu?```
#Answer : ```Trụ sở chính của Học viện Công nghệ Bưu chính Viễn thông đặt tại:
122, Hoàng Quốc Việt, Cầu Giấy, Hà Nội
Điện thoại: 024.37562186
Fax: 024.37562036
Website: www.ptit.edu.vn
Email: vanphonghv@ptit.edu.vn```"
7,6.0,Học viện Công nghệ Bưu chính Viễn thông - PTIT có bao nhiêu cơ sở đào tạo?,"Học viện có 3 cơ sở đào tạo với 2 cơ sở tại Hà Nội là Cơ sở đào tạo tại Hà Nội: Km10 Đường Nguyễn Trãi, P.Mộ Lao, Q.Hà Đông, Hà Nội. Cơ sở đào tạo tại Ngọc Trục: Ngõ 33, Đường Đại Mỗ, P.Đại Mỗ, Q.Nam Từ Liêm, Hà nội và 1 cơ sở tại HCM là Cơ sở đào tạo Thủ Đức: 97 Man Thiện, Phường Hiệp Phú, Thủ Đức, TP. Hồ Chí Minh",,,5.0,,"#Question : ```Học viện Công nghệ Bưu chính Viễn thông - PTIT có bao nhiêu cơ sở đào tạo?```
#Answer : ```Học viện có 3 cơ sở đào tạo với 2 cơ sở tại Hà Nội là Cơ sở đào tạo tại Hà Nội: Km10 Đường Nguyễn Trãi, P.Mộ Lao, Q.Hà Đông, Hà Nội. Cơ sở đào tạo tại Ngọc Trục: Ngõ 33, Đường Đại Mỗ, P.Đại Mỗ, Q.Nam Từ Liêm, Hà nội và 1 cơ sở tại HCM là Cơ sở đào tạo Thủ Đức: 97 Man Thiện, Phường Hiệp Phú, Thủ Đức, TP. Hồ Chí Minh```"
8,6.0,Em nên liên hệ với ai nếu học tại Học viện Công nghệ Bưu chính Viễn thông - PTIT cơ sở Hà Nội?,"Nếu bạn học tại Hà Nội, bạn có thể liên hệ với Cơ sở đào tạo Hà Nội:
Ðiện thoại: 024.38544451
Fax: 024.33829236
Email: ctsv@ptit.edu.vn",,,5.0,,"#Question : ```Em nên liên hệ với ai nếu học tại Học viện Công nghệ Bưu chính Viễn thông - PTIT cơ sở Hà Nội?```
#Answer : ```Nếu bạn học tại Hà Nội, bạn có thể liên hệ với Cơ sở đào tạo Hà Nội:
Ðiện thoại: 024.38544451
Fax: 024.33829236
Email: ctsv@ptit.edu.vn```"
9,6.0,Cơ sở đào tạo tại TP.HCM của Học viện Công nghệ Bưu chính viễn thông / PTIT có thông tin liên hệ gì?,"Thông tin cơ sở đào tạo tại TP.HCM của Học viện Công nghệ Bưu chính viễn thông / PTIT: 11 Nguyễn Đình Chiểu, P. Đa Kao, Q.1

97 Man Thiện, P. Hiệp Phú, TP. Thủ Đức
Điện thoại: 028.38295258
Fax: 028.39105510
Email: hvbcvthcm@ptithcm.edu.vn
Website: https://ptithcm.edu.vn",,,5.0,,"#Question : ```Cơ sở đào tạo tại TP.HCM của Học viện Công nghệ Bưu chính viễn thông / PTIT có thông tin liên hệ gì?```
#Answer : ```Thông tin cơ sở đào tạo tại TP.HCM của Học viện Công nghệ Bưu chính viễn thông / PTIT: 11 Nguyễn Đình Chiểu, P. Đa Kao, Q.1

97 Man Thiện, P. Hiệp Phú, TP. Thủ Đức
Điện thoại: 028.38295258
Fax: 028.39105510
Email: hvbcvthcm@ptithcm.edu.vn
Website: https://ptithcm.edu.vn```"
10,7.0,Tôi muốn tìm hiểu về chương trình đào tạo và các ngành học của Học viện thì nên liên hệ với đơn vị nào?,"Bạn có thể liên hệ trực tiếp với Phòng Đào tạo tại Hà Nội để được cung cấp thông tin đầy đủ về chương trình đào tạo, các ngành học, điều kiện tuyển sinh và kế hoạch học tập.
Thông tin liên hệ:
Số điện thoại: (024) 3351 2252
Email: daotao@ptit.edu.vn
Địa chỉ: Tầng 2, nhà A1, Km10, Nguyễn Trãi, Hà Đông, Hà Nội                                                                                                                                                                                                                                                             Nếu bạn muốn học tại cơ sở TP. HCM, bạn có thể liên hệ theo các cách sau để được chuyển tiếp đến bộ phận phụ trách tại TP. HCM:
Số điện thoại chung: 024 3756 2186
Email: ctsv@ptit.edu.vn
Hoặc liên hệ Phòng Đào tạo cơ sở Hà Nội để được hướng dẫn:
Số điện thoại: (024) 3351 2252
Email: daotao@ptit.edu.vn
Địa chỉ cơ sở TP. Hồ Chí Minh của Học viện:
Số 11 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh",,,5.0,,"#Question : ```Tôi muốn tìm hiểu về chương trình đào tạo và các ngành học của Học viện thì nên liên hệ với đơn vị nào?```
#Answer : ```Bạn có thể liên hệ trực tiếp với Phòng Đào tạo tại Hà Nội để được cung cấp thông tin đầy đủ về chương trình đào tạo, các ngành học, điều kiện tuyển sinh và kế hoạch học tập.
Thông tin liên hệ:
Số điện thoại: (024) 3351 2252
Email: daotao@ptit.edu.vn
Địa chỉ: Tầng 2, nhà A1, Km10, Nguyễn Trãi, Hà Đông, Hà Nội                                                                                                                                                                                                                                                             Nếu bạn muốn học tại cơ sở TP. HCM, bạn có thể liên hệ theo các cách sau để được chuyển tiếp đến bộ phận phụ trách tại TP. HCM:
Số điện thoại chung: 024 3756 2186
Email: ctsv@ptit.edu.vn
Hoặc liên hệ Phòng Đào tạo cơ sở Hà Nội để được hướng dẫn:
Số điện thoại: (024) 3351 2252
Email: daotao@ptit.edu.vn
Địa chỉ cơ sở TP. Hồ Chí Minh của Học viện:
Số 11 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh```"
11,7.0,Nếu tôi là sinh viên cần hỗ trợ về chế độ chính sách hoặc hoạt động phong trào thì nên liên hệ với phòng nào?,"Bạn có thể liên hệ với Phòng Chính trị & Công tác sinh viên thuộc cơ sở Hà Nội để được hỗ trợ các vấn đề liên quan đến chế độ chính sách, học bổng, khen thưởng – kỷ luật, cũng như các hoạt động đoàn thể, phong trào sinh viên.
Thông tin liên hệ:
Số điện thoại: (024) 3854 7795
Email: ctsv@ptit.edu.vn
Địa chỉ: Tầng 1, nhà A1, Học viện Công nghệ Bưu chính Viễn thông, Km10, Nguyễn Trãi, Hà Đông, Hà Nội                                                                       ",,,5.0,,"#Question : ```Nếu tôi là sinh viên cần hỗ trợ về chế độ chính sách hoặc hoạt động phong trào thì nên liên hệ với phòng nào?```
#Answer : ```Bạn có thể liên hệ với Phòng Chính trị & Công tác sinh viên thuộc cơ sở Hà Nội để được hỗ trợ các vấn đề liên quan đến chế độ chính sách, học bổng, khen thưởng – kỷ luật, cũng như các hoạt động đoàn thể, phong trào sinh viên.
Thông tin liên hệ:
Số điện thoại: (024) 3854 7795
Email: ctsv@ptit.edu.vn
Địa chỉ: Tầng 1, nhà A1, Học viện Công nghệ Bưu chính Viễn thông, Km10, Nguyễn Trãi, Hà Đông, Hà Nội                                                                       ```"
12,7.0,Tôi muốn biết Học viện có những khoa chuyên môn nào tại cơ sở Hà Nội?,"Tại cơ sở Hà Nội, Học viện có 10 khoa chuyên môn sau:
Khoa Cơ bản 1
Khoa Công nghệ Thông tin 1
Khoa Viễn thông 1
Khoa Kỹ thuật Điện tử 1
Khoa Quản trị Kinh doanh 1
Khoa An toàn Thông tin
Khoa Tài chính Kế toán
Khoa Đa phương tiện
Khoa Trí tuệ Nhân tạo
Khoa Đào tạo Sau đại học
Ngoài ra còn có Trung tâm Đào tạo Quốc tế dành cho các chương trình liên kết quốc tế.",,,5.0,,"#Question : ```Tôi muốn biết Học viện có những khoa chuyên môn nào tại cơ sở Hà Nội?```
#Answer : ```Tại cơ sở Hà Nội, Học viện có 10 khoa chuyên môn sau:
Khoa Cơ bản 1
Khoa Công nghệ Thông tin 1
Khoa Viễn thông 1
Khoa Kỹ thuật Điện tử 1
Khoa Quản trị Kinh doanh 1
Khoa An toàn Thông tin
Khoa Tài chính Kế toán
Khoa Đa phương tiện
Khoa Trí tuệ Nhân tạo
Khoa Đào tạo Sau đại học
Ngoài ra còn có Trung tâm Đào tạo Quốc tế dành cho các chương trình liên kết quốc tế.```"
13,7.0,Tôi muốn nộp đơn xin thực tập tại Học viện thì cần liên hệ đơn vị nào để được hướng dẫn?,"Bạn có thể liên hệ Phòng Tổ chức Cán bộ – Lao động để được hướng dẫn về quy trình tiếp nhận thực tập sinh hoặc cộng tác viên tại Học viện.
Thông tin liên hệ:
Số điện thoại: 024 3756 2186
Email: tccb@ptit.edu.vn
Địa chỉ: Tầng 2, nhà A1, Km10, Nguyễn Trãi, Hà Đông, Hà Nội",,,5.0,,"#Question : ```Tôi muốn nộp đơn xin thực tập tại Học viện thì cần liên hệ đơn vị nào để được hướng dẫn?```
#Answer : ```Bạn có thể liên hệ Phòng Tổ chức Cán bộ – Lao động để được hướng dẫn về quy trình tiếp nhận thực tập sinh hoặc cộng tác viên tại Học viện.
Thông tin liên hệ:
Số điện thoại: 024 3756 2186
Email: tccb@ptit.edu.vn
Địa chỉ: Tầng 2, nhà A1, Km10, Nguyễn Trãi, Hà Đông, Hà Nội```"
14,7.0,Học viện có các viện nghiên cứu nào đang hoạt động trong lĩnh vực công nghệ và kinh tế?,"Học viện hiện có ba viện nghiên cứu chính hoạt động trong các lĩnh vực công nghệ và kinh tế:

Viện Khoa học Kỹ thuật Bưu điện (RIPT)

Viện Công nghệ Thông tin và Truyền thông (CDIT)

Viện Kinh tế Bưu điện (ERIPT)
Cả ba viện đều đặt tại Km10, Nguyễn Trãi, Hà Đông, Hà Nội và có thể liên hệ chung qua email: ctsv@ptit.edu.vn
",,,5.0,,"#Question : ```Học viện có các viện nghiên cứu nào đang hoạt động trong lĩnh vực công nghệ và kinh tế?```
#Answer : ```Học viện hiện có ba viện nghiên cứu chính hoạt động trong các lĩnh vực công nghệ và kinh tế:

Viện Khoa học Kỹ thuật Bưu điện (RIPT)

Viện Công nghệ Thông tin và Truyền thông (CDIT)

Viện Kinh tế Bưu điện (ERIPT)
Cả ba viện đều đặt tại Km10, Nguyễn Trãi, Hà Đông, Hà Nội và có thể liên hệ chung qua email: ctsv@ptit.edu.vn
```"
15,7.0,Tôi muốn biết thông tin về các hoạt động trao đổi sinh viên hoặc chương trình đào tạo quốc tế của Học viện thì nên liên hệ với đơn vị nào?,"Quý vị có thể liên hệ với Trung tâm Đào tạo Quốc tế của Học viện để được tư vấn cụ thể về các chương trình liên kết đào tạo quốc tế, trao đổi sinh viên, cũng như các cơ hội du học liên kết với các trường đại học nước ngoài.
Thông tin liên hệ:

Số điện thoại: (024) 3352 5741

Email: cie@ptit.edu.vn

Địa chỉ: Tầng 5, nhà A1, Km10, Nguyễn Trãi, Hà Đông, Hà Nội",,,5.0,,"#Question : ```Tôi muốn biết thông tin về các hoạt động trao đổi sinh viên hoặc chương trình đào tạo quốc tế của Học viện thì nên liên hệ với đơn vị nào?```
#Answer : ```Quý vị có thể liên hệ với Trung tâm Đào tạo Quốc tế của Học viện để được tư vấn cụ thể về các chương trình liên kết đào tạo quốc tế, trao đổi sinh viên, cũng như các cơ hội du học liên kết với các trường đại học nước ngoài.
Thông tin liên hệ:

Số điện thoại: (024) 3352 5741

Email: cie@ptit.edu.vn

Địa chỉ: Tầng 5, nhà A1, Km10, Nguyễn Trãi, Hà Đông, Hà Nội```"
16,7.0,"Nếu tôi có thắc mắc về học phí, các khoản đóng góp hoặc cần xác nhận tài chính thì phải liên hệ ở đâu?","Bạn có thể liên hệ với Phòng Tài chính – Kế toán để được hướng dẫn cụ thể về học phí, chính sách thu – chi, hóa đơn, cũng như các giấy tờ tài chính liên quan.
Thông tin liên hệ:

Số điện thoại: (024) 3854 7796

Email: tckt@ptit.edu.vn

Địa chỉ: Tầng 1, nhà A1, Km10, Nguyễn Trãi, Hà Đông, Hà Nội",,,5.0,,"#Question : ```Nếu tôi có thắc mắc về học phí, các khoản đóng góp hoặc cần xác nhận tài chính thì phải liên hệ ở đâu?```
#Answer : ```Bạn có thể liên hệ với Phòng Tài chính – Kế toán để được hướng dẫn cụ thể về học phí, chính sách thu – chi, hóa đơn, cũng như các giấy tờ tài chính liên quan.
Thông tin liên hệ:

Số điện thoại: (024) 3854 7796

Email: tckt@ptit.edu.vn

Địa chỉ: Tầng 1, nhà A1, Km10, Nguyễn Trãi, Hà Đông, Hà Nội```"
17,7.0,Tôi muốn tra cứu lịch thi hoặc đăng ký phúc khảo thì cần thực hiện ở đâu?,"Sinh viên có thể liên hệ Phòng Khảo thí và Đảm bảo chất lượng giáo dục để được hướng dẫn về lịch thi, quy trình đăng ký phúc khảo, đánh giá chất lượng đào tạo hoặc các thắc mắc liên quan đến kết quả học tập.
Thông tin liên hệ:

Số điện thoại: (024) 3854 3664

Email: khaothi@ptit.edu.vn

Địa chỉ: Tầng 1, nhà A1, Km10, Nguyễn Trãi, Hà Đông, Hà Nội",,,5.0,,"#Question : ```Tôi muốn tra cứu lịch thi hoặc đăng ký phúc khảo thì cần thực hiện ở đâu?```
#Answer : ```Sinh viên có thể liên hệ Phòng Khảo thí và Đảm bảo chất lượng giáo dục để được hướng dẫn về lịch thi, quy trình đăng ký phúc khảo, đánh giá chất lượng đào tạo hoặc các thắc mắc liên quan đến kết quả học tập.
Thông tin liên hệ:

Số điện thoại: (024) 3854 3664

Email: khaothi@ptit.edu.vn

Địa chỉ: Tầng 1, nhà A1, Km10, Nguyễn Trãi, Hà Đông, Hà Nội```"
18,4.0,"Tôi là sinh viên năm nhất, làm sao để biết lịch học, lịch thi và đăng ký tín chỉ?","Sinh viên có thể truy cập hệ thống quản lý đào tạo (QLDT) của Học viện tại địa chỉ: qldt.ptit.edu.vn để xem thông tin về lịch học, đăng ký học phần, và kết quả học tập.
Mọi thắc mắc có thể liên hệ Phòng Giáo vụ:

SĐT: (024) 3854 7797

Email: giaovu@ptit.edu.vn",,,5.0,,"#Question : ```Tôi là sinh viên năm nhất, làm sao để biết lịch học, lịch thi và đăng ký tín chỉ?```
#Answer : ```Sinh viên có thể truy cập hệ thống quản lý đào tạo (QLDT) của Học viện tại địa chỉ: qldt.ptit.edu.vn để xem thông tin về lịch học, đăng ký học phần, và kết quả học tập.
Mọi thắc mắc có thể liên hệ Phòng Giáo vụ:

SĐT: (024) 3854 7797

Email: giaovu@ptit.edu.vn```"
19,7.0,Khi nào và ở đâu tôi cần làm thủ tục xét tốt nghiệp?,"Sinh viên cần theo dõi thông báo từ Phòng Đào tạo về thời gian xét tốt nghiệp từng đợt. Thủ tục thường được thực hiện trực tuyến qua hệ thống QLDT và nộp hồ sơ tại Văn phòng Phòng Đào tạo (Tầng 2, nhà A1).
",,,5.0,,"#Question : ```Khi nào và ở đâu tôi cần làm thủ tục xét tốt nghiệp?```
#Answer : ```Sinh viên cần theo dõi thông báo từ Phòng Đào tạo về thời gian xét tốt nghiệp từng đợt. Thủ tục thường được thực hiện trực tuyến qua hệ thống QLDT và nộp hồ sơ tại Văn phòng Phòng Đào tạo (Tầng 2, nhà A1).
```"
20,7.0,Tôi muốn xác nhận sinh viên để nộp hồ sơ xin việc thì xin ở đâu?,"Sinh viên có thể xin giấy xác nhận tại Phòng Chính trị & Công tác sinh viên hoặc qua hệ thống hành chính điện tử của Học viện (nếu đã được triển khai).
Thông tin liên hệ:

SĐT: (024) 3854 7795

Email: ctsv@ptit.edu.vn",,,5.0,,"#Question : ```Tôi muốn xác nhận sinh viên để nộp hồ sơ xin việc thì xin ở đâu?```
#Answer : ```Sinh viên có thể xin giấy xác nhận tại Phòng Chính trị & Công tác sinh viên hoặc qua hệ thống hành chính điện tử của Học viện (nếu đã được triển khai).
Thông tin liên hệ:

SĐT: (024) 3854 7795

Email: ctsv@ptit.edu.vn```"
21,7.0,"Tôi là doanh nghiệp, muốn hợp tác nghiên cứu hoặc tuyển dụng sinh viên Học viện thì liên hệ với đơn vị nào?","Quý đối tác có thể liên hệ Phòng Quản lý Khoa học Công nghệ & Hợp tác Quốc tế để thảo luận các cơ hội hợp tác về nghiên cứu, tài trợ học bổng hoặc tuyển dụng sinh viên.

SĐT: 024 3352 4054

Email: khcnhtqt@ptit.edu.vn

Địa chỉ: Tầng 1, nhà A3, Km10, Nguyễn Trãi, Hà Đông, Hà Nội",,,5.0,,"#Question : ```Tôi là doanh nghiệp, muốn hợp tác nghiên cứu hoặc tuyển dụng sinh viên Học viện thì liên hệ với đơn vị nào?```
#Answer : ```Quý đối tác có thể liên hệ Phòng Quản lý Khoa học Công nghệ & Hợp tác Quốc tế để thảo luận các cơ hội hợp tác về nghiên cứu, tài trợ học bổng hoặc tuyển dụng sinh viên.

SĐT: 024 3352 4054

Email: khcnhtqt@ptit.edu.vn

Địa chỉ: Tầng 1, nhà A3, Km10, Nguyễn Trãi, Hà Đông, Hà Nội```"
22,8.0,"Tôi là sinh viên của Học viện, nếu muốn tìm hiểu về cơ cấu tổ chức và hoạt động của Đảng ủy Học viện thì tôi nên liên hệ với ai?","Sinh viên có thể liên hệ trực tiếp với Văn phòng Đảng ủy Học viện để tìm hiểu thông tin về cơ cấu tổ chức, chức năng nhiệm vụ, cũng như các hoạt động chính trị – tư tưởng của Đảng bộ Học viện.
Thông tin liên hệ:

Chánh Văn phòng: Bà Nguyễn Thị Nhiễu

Điện thoại: 024.3351.0438

Email: nhieunt@ptit.edu.vn hoặc vpdu@ptit.edu.vn

Địa chỉ: Tầng 1, nhà A1, Km10, Nguyễn Trãi, Hà Đông, Hà Nội",,,5.0,,"#Question : ```Tôi là sinh viên của Học viện, nếu muốn tìm hiểu về cơ cấu tổ chức và hoạt động của Đảng ủy Học viện thì tôi nên liên hệ với ai?```
#Answer : ```Sinh viên có thể liên hệ trực tiếp với Văn phòng Đảng ủy Học viện để tìm hiểu thông tin về cơ cấu tổ chức, chức năng nhiệm vụ, cũng như các hoạt động chính trị – tư tưởng của Đảng bộ Học viện.
Thông tin liên hệ:

Chánh Văn phòng: Bà Nguyễn Thị Nhiễu

Điện thoại: 024.3351.0438

Email: nhieunt@ptit.edu.vn hoặc vpdu@ptit.edu.vn

Địa chỉ: Tầng 1, nhà A1, Km10, Nguyễn Trãi, Hà Đông, Hà Nội```"
23,8.0,Ai là Bí thư Đảng ủy hiện tại của Học viện Công nghệ Bưu chính Viễn thông trong nhiệm kỳ 2020–2025?,"Đồng chí Từ Minh Phương hiện đang giữ chức vụ Bí thư Đảng ủy Học viện Công nghệ Bưu chính Viễn thông trong nhiệm kỳ 2020 – 2025. Đồng chí là người đứng đầu về công tác Đảng tại Học viện, chỉ đạo toàn diện các hoạt động chính trị và tổ chức trong hệ thống Đảng bộ.",,,5.0,,"#Question : ```Ai là Bí thư Đảng ủy hiện tại của Học viện Công nghệ Bưu chính Viễn thông trong nhiệm kỳ 2020–2025?```
#Answer : ```Đồng chí Từ Minh Phương hiện đang giữ chức vụ Bí thư Đảng ủy Học viện Công nghệ Bưu chính Viễn thông trong nhiệm kỳ 2020 – 2025. Đồng chí là người đứng đầu về công tác Đảng tại Học viện, chỉ đạo toàn diện các hoạt động chính trị và tổ chức trong hệ thống Đảng bộ.```"
24,8.0,Tôi muốn biết Ban Chấp hành Đảng bộ Học viện nhiệm kỳ 2020–2025 gồm những ai?,"Ban Chấp hành Đảng bộ Học viện Công nghệ Bưu chính Viễn thông nhiệm kỳ 2020–2025 gồm 13 đồng chí, trong đó có Bí thư, Phó Bí thư, các Ủy viên Ban Thường vụ và Ủy viên Ban Chấp hành. Một số đồng chí tiêu biểu bao gồm:

Đồng chí Từ Minh Phương – Bí thư Đảng ủy

Đồng chí Đặng Hoài Bắc – Phó Bí thư Đảng ủy

Đồng chí Trần Quang Anh, Nguyễn Trung Kiên – Ủy viên Ban Thường vụ

Cùng các đồng chí Ủy viên Ban Chấp hành như: Nguyễn Tiến Ban, Đặng Thu Hà, Nguyễn Lương Nhật, v.v.
Thông tin chi tiết có thể được cung cấp tại Văn phòng Đảng ủy Học viện.",,,5.0,,"#Question : ```Tôi muốn biết Ban Chấp hành Đảng bộ Học viện nhiệm kỳ 2020–2025 gồm những ai?```
#Answer : ```Ban Chấp hành Đảng bộ Học viện Công nghệ Bưu chính Viễn thông nhiệm kỳ 2020–2025 gồm 13 đồng chí, trong đó có Bí thư, Phó Bí thư, các Ủy viên Ban Thường vụ và Ủy viên Ban Chấp hành. Một số đồng chí tiêu biểu bao gồm:

Đồng chí Từ Minh Phương – Bí thư Đảng ủy

Đồng chí Đặng Hoài Bắc – Phó Bí thư Đảng ủy

Đồng chí Trần Quang Anh, Nguyễn Trung Kiên – Ủy viên Ban Thường vụ

Cùng các đồng chí Ủy viên Ban Chấp hành như: Nguyễn Tiến Ban, Đặng Thu Hà, Nguyễn Lương Nhật, v.v.
Thông tin chi tiết có thể được cung cấp tại Văn phòng Đảng ủy Học viện.```"
